timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449617.465843,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.4760017,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.4859061,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.4958372,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5058742,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5160344,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.525849,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5360038,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5458567,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.5560207,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5658472,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.575756,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.5858948,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.59583,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.6058865,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.6157491,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.6258497,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.6360326,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.645856,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.6559556,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.6658783,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.6759465,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.685889,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.6958392,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7059538,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7157464,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7258606,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7360075,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7458684,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7560046,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7658634,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.7760303,0,0,0,0,0,15.0,0,0,0,0,0,0,0
