timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751243.226644,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.326642,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.427251,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.526924,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.726662,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751243.826668,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.02681,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.12691,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.226756,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.326755,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.426734,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.626732,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.726911,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.52672,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.826787,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751244.92671,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.026718,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.129487,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.226708,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.326887,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.426743,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.526706,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.626739,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.726706,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.829544,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751245.926889,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.626812,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.026999,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.126696,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.226705,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.326705,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.426708,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.529631,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.729553,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.826713,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751246.92671,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.227473,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.329484,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.026716,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.129456,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.426674,4.0,0,10.6,14.8,-250.0,-30,0,0
